text,actors,directors,label
based on a graphic novel this film stars actor mickey rourke and features others such as jessica alba carla gugino bruce willis and tobey maguire,"['mickey rourke', 'jessica alba', 'carla gugino', 'bruce willis', 'tobey maguire']",[],1
what 2000 movie is the story of two warriors chasing down a stolen sword run into a skilled nobleman s daughter,[],[],1
i m thinking of a movie with leo dicaprio in which he enters the human mind through their dreams,['leo dicaprio'],[],1
a young girl lets three strangers escort her to see a strange gentleman that is fond of magic tricks,[],[],1
released in 1967 this film featured a major cast of stars portraying a group of enlisted convicts in wwii led by lee marvin,['lee marvin'],[],1
i am thinking of the award winning steven spielberg film that stars tom hanks as an army captain on a mission to rescue the sole survivor of four enlisted brothers after the invasion of normandy,['tom hanks'],['steven spielberg'],1
what is the movie about luke skywalker breaking free from his aunt and uncle to rescue princess leia,[],[],1
what is the film based off the children s rhyme about the couple who go over the hill,[],[],1
what is that film starring julia roberts who plays a middle aged woman who decides to embark on an adventure and goes to bali,['julia roberts'],[],1
im thinking of a movie where a manhattan couple are suddenly dealing with the issue of employment and move to a community where free love rules,[],[],1
fuck you thunder your just gods farts,[],[],0
which film is about a group of seemingly unrelated characters being isolated and tortured by the villain jigsaw,[],[],0
what is the name of the animated film based on a clown fish who has lost his son,[],[],0
i am thinking of the film adaptation of the fannie flagg novel that stars jessica tandy and kathy bates and tells the tale of a strong bond between two depression era women,"['jessica tandy', 'kathy bates']",[],1
i want to see that movie with jonah hill who has to bring an alcoholic english rockstar playboy nuisance to his destination before a set time,['jonah hill'],[],1
what movie features psychopath norman bates and the most famous shower scene in cinematic history,[],[],1
this movie is about a street urchin accidentally meets princess jasmine who is in the city undercover they love each other but she can only marry a prince,[],[],0
what s the movie where the myth of gangster keiser soze is recounted from different perspectives,[],[],1
what is the name of the movie where jeremy renner plays the sergeant of an army bomb squad unit during the iraq war,['jeremy renner'],[],0
what is this 1972 iconic american epic crime film about a man who has an offer you ca n t refuse,[],[],1
i am thinking of a film that was based on a classic literary novel written by emily bronte about a boy named heathcliff,[],[],1
this gene kelly classic has three friends struggling to find work in paris things become more complicated when two of them fall in love with the same woman,['gene kelly'],[],1
in this 2012 movie chris pine and tom hardy are cia agents fighting each other over a girl,"['chris pine', 'tom hardy']",[],1
what is the movie that s based on a man who goes on adventures and meets both giants and very small people,[],[],1
which of these movies came out in 2010 and starred jake gyllenhaal in a pg 13 disney movie,['jake gyllenhaal'],['pg 13'],1
what is the movie where an unappreciated villain in a video games leaves his game and enters others,[],[],0
what movie about a rambunctious rock star was a spin off to the comedy forgetting sarah marshall,[],[],0
what is the movie directed by quentin tarantino about a jewelry heist that goes wrong,[],['quentin tarantino'],0
i m thinking of the epic movie based on the book by j r r tolkien featuring hobbits wizards elves and a dark magic,[],[],1
a suspense horror film which has a mind blowing character who is portrait as mentally ill,[],[],1
this movie s retelling of the classic fairytale does n t have the princess falling in love with the prince at the end,[],[],0
this 1982 film which also starred james earl jones as thulsa doom was the first box office success for austrian bodybuilder arnold schwarzenegger,"['james earl jones', 'arnold schwarzenegger']",[],1
what war was taking place during the movie,[],[],0
this classic horror movie involves a young priest and an old priest removing a demon spirit from a little girl,[],[],1
this in theater experience features the equally loved and hated pop icon from canada who some say looks like ellen degeneres,[],[],1
what gangster film starring tom hanks and filmed in and around chicago is based on an acclaimed graphic novel,['tom hanks'],[],1
what is the movie with leonardo dicaprio that he goes into other people s dreams and tries to fix things,['leonardo dicaprio'],[],0
which movie that came out in 1995 features detectives following a serial killer who showcases dante s deadly sins,[],[],1
what is the 2011 stoner comedy that is the latest instalment in a series that follows john cho and kal penn as they set out on a quest to find the perfect christmas tree,[],[],1
what s that scary movie about a serial killer who returns to a small town to kill everyone born on the day he supposedly died,[],[],1
what is the sequel to the 1987 film about a stock broker seeking to restore his empire,[],[],0
i am thinking of a film about a manufacturer who initially inadvertently saves thousands of jews from certain death during the holocaust,[],[],0
what is the classic comedy about the old west that was written directed and starred mel brooks,['mel brooks'],[],1
what is the movie starring robert de niro about a boxer s life that was directed by martin scorsese,['robert de niro'],['martin scorsese'],1
jeremy renner takes over for matt damon in the highly popular book and movie series about espionage in what movie,"['jeremy renner', 'matt damon']",[],1
the trials and effects the civil war have on a rich southern family,[],[],1
what is the 2010 american comedy film starring jonah hill and russell brand in which brand stars as the rocker aldous snow,"['jonah hill', 'russell brand']",[],1
what s the teen comedy about a girl whose halloween night is ruined when her brother goes missing,[],[],0
this martin scorsese film contains the classic moment of robert deniro looking in the mirror and asking you looking at me,['robert deniro'],['martin scorsese'],1
this 2011 steve carell movie is about a guy who has n t dated in awhile learning how to pick up girls,['steve carell'],[],1
which 1981 american cyberpunk action film directed by john carpenter stars kurt russell as snake plissken,['kurt russell'],['john carpenter'],1
what is the 1988 movie starring bruce willis where he plays nypd officer john mcclane,['bruce willis'],[],1
i am thinking about a classic film starring jimmy stewart as a wholesome young man who gets involved with corrupt politicians,['jimmy stewart'],[],1
often referred to as a female companion piece to the hangover this movie stars a group of women competing to determine who is the maid of honor,[],[],0
one of the most famous glass trophy race winners in history is the star of this epic picture,[],[],1
colin firth won an academy award for best actor in this movie based on a historical drama,['colin firth'],[],1
yasujiro ozu directs this spare emotionally devastating drama about a couple coming to visit their children in japan,[],['yasujiro ozu'],1
i m thinking of a 1948 film that stars judy garland and fred astaire as a dancing team who drift apart and find new partners,"['judy garland', 'fred astaire']",[],1
have you seen that movie about a small town that is exposed to a chemical spill essentially turning them into zombies,[],[],0
what s the children s movie that features a family of four inch people living in a 14 year old boy s home,[],[],1
what is the movie where a boy and a tiger get shipwrecked and are stranded on a boat,[],[],0
what is the movie that models hamlet through a family of lions in the african sahara made by disney,[],[],1
this movie tells the true story of a soft spoken writer as he completes what many consider to be his greatest work another title for this movie might be in cold blood the name of the book the author in the movie is completing what is the name of this film,[],[],1
i am thinking of the 90 s era chase movie that blew up the careers of both keanu reeves and sandra bullock,"['keanu reeves', 'sandra bullock']",[],0
what is the movie about a reindeer at the north pole who gets teased because of the color of his nose,[],[],0
what humphrey bogart film considered by many to be the best film ever made introduced us to the phrase here s looking at you kid,['humphrey bogart'],[],1
by the time of the 2006 academy awards this best documentary winner about an animal s arctic yearly migration had out grossed all 5 best picture nominees,[],[],1
what is the name of the movie based on a very famous book about sisters living in the 1800 s,[],[],0
sigourney weaver stars in this science fiction horror film directed by ridley scott that spawned sequels,['sigourney weaver'],['ridley scott'],1
what is the movie based off an animated bear who has friends like a pig and a tiger,[],[],0
what is the name of the 1954 movie directed by stanley donen focused on the courting of a group of females by a group of related males,[],['stanley donen'],1
what 2011 animated film itself a sequel starred jack black as a klumsy but lovable bear,['jack black'],[],0
this miyazaki film won an oscar for best animated feature,[],['miyazaki'],1
what is this 1968 horror movie that sparked the zombie craze,[],[],1
what is the movie about the bear who has friends that are a rabbit kangaroo and a tigger,[],[],0
i m thinking of a movie that involves two hitmen a boxer a gangsters wife all four of them intertwine with each other throughout various parts in the film,[],[],1
what is the movie featuring two women played by geena davis and susan sarandon who take off in a thunderbird,"['geena davis', 'susan sarandon']",[],1
what is the name of the movie where drew barrymore and justin long have a relationship even though they live on opposite coasts,"['drew barrymore', 'justin long']",[],1
what s that movie about the grumpy semi bald guy that relives the same day over and over,[],[],0
what is this 1997 masterpiece directed by james cameron featuring a ship crashing into an iceberg,[],['james cameron'],1
what was the 2010 movie starring leonardo dicaprio as a police officer investigating an asylum that was n t as it seemed,['leonardo dicaprio'],[],0
what female friendly adult comedy featured a breakout role for melissa mccarthy as a tomboy ish sexed crazed sister of the groom,['melissa mccarthy'],[],1
what s the movie based on the melville novel about a monomaniacal sea captain hunting a giant white whale,[],[],1
what ang lee film was oscar nominated for best picture while winning the best foreign language film oscar,[],['ang lee'],1
what is the movie starring christopher reeve as a playwright who finds a way to go into the past to find the woman he loves,['christopher reeve'],[],1
name a coen brothers movie that involves a playwright moving to california to work for movie producers,[],['coen brothers'],1
i am thinking of the blockbuster 70 s film that stars sylvester stallone as a philadelphia boxer,['sylvester stallone'],[],1
a 1968 movie with hal 9000 directed by stanley kubrick and is also written by him and arthur c clarke,[],['stanley kubrick'],1
i m thinking of a 1989 movie about a close circle of friends starring shirley maclaine and olympia dukakis,"['shirley maclaine', 'olympia dukakis']",[],1
what is the french documentary directed by jacques yves cousteau and louis malle about exploring the underwater depths of the oceans,[],"['jacques yves cousteau', 'louis malle']",1
what is the shakespeare movie about a black man married to a white woman that he kills,[],[],0
what chinese thriller set in the world of a hong kong triad inspired the academy award winning film the departed,[],[],1
which movie by ridley scott is about machines who have come to believe they are human,[],['ridley scott'],1
what is the 2011 movie starring ryan reynolds as a test pilot given an alien ring,['ryan reynolds'],[],0
what gross early 90 s horror movie was directed by lord of the rings genius peter jackson,[],['peter jackson'],0
what s that movie about the old guy who creates a theme park about dinosaurs that get loose,[],[],0
this 2010 movie starring robert downey jr was shipped to theaters under the code name maternity day,['robert downey jr'],[],0
what is the name of the recent sience fiction horror film with joel edgerton as the lead male role,['joel edgerton'],[],1
astronauts crash land on this earth like planet where humans are caged and treated like zoo animals,[],[],0
what is the name of the first movie made by john singleton in which ice cube and cuba gooding is starring,"['ice cube', 'cuba gooding']",['john singleton'],1
a girl with really really long hair gets stuck high in a tower where a lady keeps her,[],[],0
remade by william friedkin in 1977 as sorcerer this 1953 thriller depicts a group of men trying to drive truck load of explosives across dangerous terrain,[],['william friedkin'],0
i need the name of the shakespeare movie about the guy who says to be or not to be,[],[],0
louis armstrong was only on set for a half day and did his shots in one take in this barbra streisand musical,"['louis armstrong', 'barbra streisand']",[],1
bruce willis starred in this 80 s action film about a man in the wrong place at the wrong time,['bruce willis'],[],1
i m thinking of a film that features a down and out actor that goes in drag for the ultimate role a leading woman on a soap opera,[],[],0
what is the 2010 childrens film based on a beloved book about two sisters growing up and dealing with each other,[],[],1
name the pixar animation film about a robot that ends up saving the human race and earth in the future,[],[],1
a cop gets stuck crawling around in a building trying to take down some terrorists,[],[],0
i am thinking of a classic film that tells the story of an alien who comes to earth with a giant metal robot his mission is to issue the people of earth an ultimatum,[],[],1
this love story movie beat saving private ryan for best picture in the late nineties,[],[],1
what is the name of the movie involving the man of steal and his great love lois,[],[],1
wes anderson directed this animated adaption of roald dahl s story featuring the voices of george clooney and meryl streep,"['george clooney', 'meryl streep']",['wes anderson'],1
what is the 2012 american war film starring chris hemsworth and directed by dan bradley,['chris hemsworth'],['dan bradley'],1
i m thinking of a 2010 movie starring danny trejo as an ex federale who seek revenge on the man who hired him to assassinate an important government official,['danny trejo'],[],0
what was the movie about a serial killer who invaded the dreams of local teenagers,[],[],0
i am thinking of a classic film starring natalie wood and rita moreno that is based on a famous broadway musical,"['natalie wood', 'rita moreno']",[],1
movie that takes place in the city of lights starring owen wilson and a blonde girl,['owen wilson'],[],1
what is the musical starring barbara streisand who plays the 1920 s broadway star fanny brice,['barbara streisand'],[],1
which film tells the story of a preteen who s life is changed after befriending the new girl at school,[],[],1
how many movies was tom hanks in by the time this movie was made to date,['tom hanks'],[],0
what is the 1998 movie starring jeff bridges and john goodman about the dude who is mistaken for a millionaire and seeks restitution for his ruined rug,"['jeff bridges', 'john goodman']",[],0
jack nicholson even more crazy than usual stars in this film set in a mental institution,['jack nicholson'],[],1
what is the movie with nicholas cage in it that he rides around on a motorcycle and gets fire on his head when he is mad i think it s based on a comic book,['nicholas cage'],[],0
what is the movie that has a baseball coach and his assistant using reject baseball players to form a winning team,[],[],0
what is the movie with judy garland who plays dorothy and she her dog toto the tin man the cowardly lion and the scarecrow take a journey down the yellow brick road,['judy garland'],[],1
what comedy film stars russell brand as an eccentric musician and jonah hill as a young assistant,"['russell brand', 'jonah hill']",[],1
what was the much anticipated sequel movie shot in 2011 about a bunch of guys who went to thailand and had the worst hangover of all time,[],[],0
what 2012 movie directed by oliver megaton followed up the fallout of bryan mills rescue of his kidnapped daughter,[],['oliver megaton'],1
tell me the movie with russel crow who plays a very smart guy who has a deaf baby,['russel crow'],[],1
do you know the nicholas sparks story that was turned into a film starring miley cyrus and her fiance liam hemsworth,"['miley cyrus', 'liam hemsworth']",[],0
what is the scorcese masterpiece that is in black and white and is about the boxer jake lamotta,[],['scorcese'],1
what clive barker horror film shows how an urban legend is brought to life by saying his name into a mirror,[],['clive barker'],1
i am thinking of a film that stars ben stiller as the leader of a group of employees who are cheated out of their money by a crooked businessman,['ben stiller'],[],1
what 1951 adventure film starred robert morley and katharine hepburn as samuel and rose saye,"['robert morley', 'katharine hepburn']",[],1
in this film cary grant plays a reporter trying to keep his ex from remarrying and moving to the country,['cary grant'],[],1
a playful romantic comedy with meryl streep and tommy lee jones a sex therapist played by steve carell counsels a couple to put excitement back into their marriage,"['meryl streep', 'tommy lee jones', 'steve carell']",[],1
what s the name of that movie ron howard and george lucas made where the evil queen arrests all pregnant women,[],"['ron howard', 'george lucas']",0
montgomery clift murders shelley winters because he is desperately in love with elizabeth taylor in this george stevens film,"['montgomery clift', 'shelley winters', 'elizabeth taylor']",['george stevens'],0
i m thinking of an 80 s film starring nicholas cage and holly hunter as kidnappers who steal a baby,"['nicholas cage', 'holly hunter']",[],1
dominic toretto and his crew plan a massive heist to secure their future in the latest movie of this franchise,[],[],1
what s the name of the film where a teenager in new york is changed into a monster,[],[],0
sigourney weaver had initially been very hesitant to reprise her role as ripley and had rejected numerous offers from fox studios to do any sequels fearing that her character would be poorly written and a sub par sequel could hurt the legacy of the first movie however she was so impressed by the high quality of james cameron s script she finally agreed to do the film,['sigourney weaver'],['james cameron'],1
in this film starring an archeologist and adventurer who tries to find something important before the nazis get their hand son it,[],[],1
i m thinking of a movie from the mid 2000 s about stoner knights it had natalie portman as the lead female it was a comedy,['natalie portman'],[],1
what is the 90 s dark comedy thriller directed by the coen brothers that revolves around a murder in north dakota,[],['coen brothers'],1
can you give me the name of the movie that involves a man finding a drug that can change his whole future but must keep away from ruthless thugs,[],[],0
what movie documents a disfigured man who famously yells that he is not an animal,[],[],0
what is the name of the movie in which an alien lands and tells the people of earth that they must live peacefully or be destroyed as a danger to other planets,[],[],1
i need the name of the movie about the animals in the woods that came out in the 90 s that is about their lives,[],[],0
this movie starring katherine hepburn and humphrey bogart is about a missionary who convinces the drunken captain of a dilapidated steamboat to help her torpedo a german ship during world war i,"['katherine hepburn', 'humphrey bogart']",[],1
i am thinking of a 60 s era cult classic george romero horror film about a group of people who attempt to survive a zombie holocaust,[],['george romero'],1
what s the low brow comedy about a woman who is jealous when her friend decides to get married,[],[],0
this 2003 disney movie about a fish in search of his son won several oscars including best animated feature,[],[],1
what is the movie about the peanuts gang learning the true spirit on the holiday season,[],[],1
what is that 2010 comedy film starring kristen bell and josh duhamel about two opposites that fall in love in a european country,"['kristen bell', 'josh duhamel']",[],1
it is a movie about a lawman in the wild west who brings down famous outlaws,[],[],1
what is the 1990 american horror film directed by tom savini which is a remake of george a romero s 1968 horror film of the same name,[],['tom savini'],0
what movie won best picture at the 1984 academy awards,[],[],1
director milos foreman and actor f murray abraham won oscars for what film,['f murray abraham'],['milos foreman'],1
jack nicholson and louise fletcher won oscars for their starring roles in this 1975 drama,"['jack nicholson', 'louise fletcher']",[],1
what is the movie starring kurt russell about a group of scientists in the arctic that get attacked by a creature that can mimic any living thing,['kurt russell'],[],1
what is the movie starring bruce willis as a new york cop who squares off against alan rickman,"['bruce willis', 'alan rickman']",[],1
when two kids play an old magic board game they found they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game is the plot of this 1995 comedy adventure starring robin williams,['robin williams'],[],1
i am thinking of a movie that stars david naughton as a young man from the u s who gets bitten by a mythical beast as he backpacks abroad,['david naughton'],[],0
the 3 rd movie in the beloved series of movies based off the best selling books by british author j k rowling,[],[],1
what 2012 ang lee film based on the best selling book of the same name is about a boy and a tiger,[],['ang lee'],1
what is the movie starring brad pitt and anthony hopkins about three brothers and their father living in the remote wilderness in the 1900 s,"['brad pitt', 'anthony hopkins']",[],1
i m thinking of a movie where a book comes to life for a young boy and he is transported into the story and has to save a princess,[],[],1
what s the nature documentary about an animal that gets separated from its family and then gets adopted,[],[],1
transplanted to mars a civil war vet discovers a lush planet inhabited by 12 foot tall barbarians is the plot of this 2012 action adventure movie,[],[],1
what low rated film spoofs off teen flicks that star sparkling heart throbs and werewolves,[],[],1
what is the 1970 robert altman war movie which led to a very successful television series of the same name,[],['robert altman'],1
what is the movie about a space ship with a recent year in its name,[],[],1
i am thinking of a film that stars queen latifah and dolly parton as leaders of a church choir,"['queen latifah', 'dolly parton']",[],1
what is the tyler perry movie where that big black woman has to be exported to protect herself,[],['tyler perry'],0
surely you must know the 1980 comedy directed by the zucker brothers and jim abrahams,[],"['zucker brothers', 'jim abrahams']",1
even if this movie s title is lacking the phrase of mars it was inspired by an edgar rice burroughs short story,[],[],0
goldie hawn bette midler and diane keaton star in this 1996 about divorce and revenge,"['goldie hawn', 'bette midler', 'diane keaton']",[],1
what is the movie based on a comic strip that is about a large great dane,[],[],0
in what movie does a boy have to fight his future girlfriend s crazy and villianous ex boyfriends in order to be with her,[],[],0
what is the name of that war movie directed by steven spielberg where tom hanks plays a soldier looking for his brother played by matt damon,"['tom hanks', 'matt damon']",['steven spielberg'],1
i m thinking of the movie directed by clint eastwood featuring sean penn and tim robins about man who will stop at nothing to catch his daughter s killer,"['sean penn', 'tim robins']",['clint eastwood'],1
i am thinking of the third installment in the disney pixar film franchise that continues the intertwined stories of andy woody buzz and the gang,[],[],1
what is that jackie chan movie where he s an ex cia agent who has to babysit his girlfriend s children,['jackie chan'],[],0
what s the name of movie where eddie murphy plays a doctor that can talk to animals,['eddie murphy'],[],0
what is the name of the second movie of george lucas original trilogy of this science fiction series,[],['george lucas'],1
i m thinking of the 1984 mockumentary that follows the world s loudest band on a world tour,[],[],1
chris evans is ready to sock ol adolf on the jaw in what 2011 marvel film,['chris evans'],[],1
what is the name of that animated kids movie about all those spotted dogs running around,[],[],0
this classic film starring james stewart is about a senator with a strong sense of justice who clashes with the washington system,['james stewart'],[],1
what is the black and white movie where humphrey bogart and ingrid bergman reunite in africa after a romantic interlude in paris,"['humphrey bogart', 'ingrid bergman']",[],1
i m thinking of a judd apatow directed movie starring paul rudd which is a sequel to the movie knocked up,['paul rudd'],['judd apatow'],0
what is the 2010 movie starring robert downey jr and zach galifianakis about a soon to be father having to hitch a ride with an aspiring actor in order to make it to the birth of his child,"['robert downey jr', 'zach galifianakis']",[],1
what is the name of the documentary of the nuremberg rally filmed by leni riefenstahl,[],['leni riefenstahl'],0
what 1940 s musical was first adapted to film in the 1950 s after over 2 000 successful performances,[],[],0
what violent david fincer film starred brad pitt and edward norton as a mysterious pair,"['brad pitt', 'edward norton']",['david fincer'],0
nicholas cage and holly hunter play an infertile couple who decide to kidnap a baby in this coen brothers movie,"['nicholas cage', 'holly hunter']",['coen brothers'],1
andrew garfield stars as our web slinging comic book hero in this 2012 action adventure,['andrew garfield'],[],1
which movie features a fedora wearing professor on a quest to save the world from a group of nazis,[],[],0
what is the name of this black and white movie by steven spielberg about the holocaust,[],['steven spielberg'],0
which film stars a very young mel gibson as mad max in a post apocalyptic world,['mel gibson'],[],1
what s the lumet movie where al pacino plays a new york cop who is one of the few cops who are not corrupt,['al pacino'],['lumet'],1
what is the scorsese directed movie where an orphan lives in a train station,[],['scorsese'],1
what is the name of the animated disney film that came out in 2012 that involves video games,[],[],1
what is the movie in which marlon brando won a best actor oscar for talking about being a contender,['marlon brando'],[],1
the premise of the movie is a mermaid princess makes a faustian bargain with a mean seahag in order to meet a human prince on land,[],[],0
an epic tale about how arnold rises up to avenge his parents,[],[],1
what s that roman polanski movie from the 70 s with jack nicholson that won many awards,['jack nicholson'],['roman polanski'],1
what is this x rated animated film that is based on the character created by robert crumb,[],['x rated'],1
robert redford starred in both the broadway play and this film version of this neil simon romantic comedy,['robert redford'],['neil simon'],1
what s the outrageous movie about a us president who must save the world from vampires,[],[],1
this fantasy film starring owen wilson garnered a nomination for best direcor for woody allen at the 2001 oscars,['owen wilson'],['woody allen'],1
what s the name of the movie where the middle aged high school baseball coach tries out and gets to play on major league baseball team,[],[],0
this 1937 war movie directed by jean renoir is frequently considered to be one of the greatest films of all time,[],['jean renoir'],1
what is the name of the movie that s a collection of music done live by a cast of a tv show based around a club that sings,[],[],0
what is the indiana jones film often considered the best of the series in which harrison ford seeks to track down and recover a legendary biblical icon,['harrison ford'],[],1
name the 1984 film adaptation of bernard malamud 1952 novel about baseball of the same name starring robert redford,['robert redford'],[],1
what is the movie about a young woman that eats a poisoned apple given to her by an evil witch because the mirror says she s the fairest of them all,[],[],0
character benedict slade receives a visit from 3 spirits in this spin on a christmas classic,[],[],1
in what movie does channing tatum plays an undercover cop who goes undercover in a high school,['channing tatum'],[],1
what roman polanski directed film set in wwii features adrien brody as a musician from the warsaw ghetto,['adrien brody'],['roman polanski'],1
i am thinking of a classic love story that stars barbra streisand and robert redford,"['barbra streisand', 'robert redford']",[],1
what musical movie came out in 2012 that has an all star cast including whitney houston and jordin sparks,"['whitney houston', 'jordin sparks']",[],1
i need the name of the movie of a steinbeck novel set in the great depression,[],[],0
what 2012 movie had kate beckinsale returning to the role of selene for a fourth time,['kate beckinsale'],[],1
at the close of wwii a young nurse tends to a badly burned plane crash victim is the plot of this 1996 romantic war drama that won 9 oscars,[],[],1
i am thinking of a movie now considered a classic by many about a shark based on a peter benchley book,[],[],1
what is the name of the second in its series fantasy movie based on a classic book by tolkien,[],[],0
the story of a forbidden and secretive relationship between two cowboys and their lives over the years,[],[],1
this movie was a huge box office hit and inspired many blue halloween costumes in 2009 the year it was released,[],[],1
what is the movie about a family who records strange things happening in their home at night,[],[],1
this 2003 movie was the only fantasy movie ever to win the oscar for best picture,[],[],1
what is the name of the 1942 errol flynn movie in which he portrays a real life boxing champion,['errol flynn'],[],1
which 1971 ultra violent crime film written directed and produced by stanley kubrick is adapted from anthony burgess 1962 novella of the same name,[],['stanley kubrick'],1
what movie stars richard dreyfuss who sees strange lights in the sky and is compelled to go to devil s tower in wyoming,['richard dreyfuss'],[],1
i am thinking of the classic george lucas space opera that is first in the series and tells the tales luke skywalker and princess leia,[],['george lucas'],1
what s the horror film that has the bad guy who goes after kids in their dreams,[],[],0
what is the movie that recreates the image of one of our greatest president into that of a abolisher of bloodsucking monsters,[],[],1
in what 1990 s movie do the bus drivers need to stay above 50 mph to keep the bus from exploding,[],[],0
what stephen king story features a man who was wrongfully imprisoned yet patiently awaits his chance to escape,[],[],1
what is the name of that sci fi movie starring drew barrymore as a little girl,['drew barrymore'],[],0
what is the 1982 epic film starring ben kingsley as the famous indian lawyer activist and pacifist,['ben kingsley'],[],1
this movie stars marlon brando and where an ex prize fighter turned longshoreman struggles to stand up to his corrupt union bosses,['marlon brando'],[],1
an unemployed actor with a reputation for being difficult disguises himself as a woman to get a role in this dustin hoffman comedy,['dustin hoffman'],[],0
i m thinking of a romantic comedy in which a woman who s sick of being single makes a wish in a fountain while in rome for her sister s wedding,[],[],1
what is the movie that has the man of steel in it and he comes from another planet,[],[],1
the story of a reindeer that is not accepted by his peers but he saves the day for santa clause,[],[],1
what 2012 movie directed by anthony hemingway featured terrence howard and cuba gooding jr as military personnel,"['terrence howard', 'cuba gooding jr']",['anthony hemingway'],1
what is the disney film about a girl who is turned into a frog by a magical spell,[],[],1
what is the name of the movie in which marion crane takes a room at the bates motel,['marion crane'],[],0
what was that russell crowe movie about the mathematician that had mental issues and in one scene describes some group theory about ignoring some blonde,['russell crowe'],[],0
what famous movie stars robert redford and paul newman as con men who attempt to settle the score with a mob boss,"['robert redford', 'paul newman']",[],1
what marlon brando movie from the 50 s takes place during world war two and documents three lives,['marlon brando'],[],1
i am thinking of a controversial but well received movie involving american cowboys and homosexuality,[],[],1
what is the name of this john wayne movie about four sons avenging the death of their father and honoring the memory of their mother,['john wayne'],[],1
a coen brothers cult classic starring john goodman and jeff bridges as the dude who find themselves on the wrong side of a kidnapping,"['john goodman', 'jeff bridges']",['coen brothers'],1
what is the classic kurosawa film in which each character relays a story to an independent listener and the audience showing that there are often multiple versions of the truth,[],['kurosawa'],1
what is the 2012 movie where adam sandler plays a father who got his school teacher pregnant in the past as a young boy,['adam sandler'],[],0
i m thinking of a sci fi movie starring harrison ford which is about a man who tracks down and kills human clones,['harrison ford'],[],0
this movie was remade from a cheesy 80 s movie with titans and an owl made of metal,[],[],0
this is a pixar animation studios film that came out in 2008 that stars a robot,[],['pixar'],1
what s the name of the movie sequel that is a humorous postmodern take on the horror genre,[],[],1
the neighboring gardens of montague and capulet are at war in this 2011 family animation,[],[],0
what is the beatles film which is about the band preparing for a television appearance,['beatles'],[],1
this famous slasher film featured a killer wearing a mask based upon william shatner s likeness,[],[],0
what is the 1979 movie by steven spielberg that features the line i love the smell of napalm in the morning and stars martin sheen and marlon brando,"['martin sheen', 'marlon brando']",['steven spielberg'],1
a bright computer animated 2012 film with an all star cast including danny devito zac efron and taylor swift depicting the inhabitants of thneedville,"['danny devito', 'zac efron', 'taylor swift']",[],1
what is the name of wes craven s 1984 classic horror film,[],['wes craven'],1
i m thinking of a movie that was made in 1984 and remade in 2012 in which the plot features a group of american teenagers defending their town against foreign invaders,[],[],0
what is the 1994 movie directed by quentin tarantino that stars john travolta and uma thurman in stories about hitman bandits a boxer and a gangster s wife,"['john travolta', 'uma thurman']",['quentin tarantino'],1
